Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE	Absolute score (sig.score)
C524_D1_G7	0	0	0	2.74352640365149	0	0.135582483505541	7.13137365272975	1.41189280768894	0	0	0	0.881972573599115	0.0432693320802972	0.63956768533006	0	0	0	0	0	2.28013074500114	1.07207132175018	0.746001695305782	0.581	-0.00206484111927121	1.12607724281186	17.0853887006423
C528_A1_G6	1.6685913200839	1.01090893952836	0.882534965991665	1.9780683142574	2.24164506259058	0	9.01838301461706	1.00877840798243	0	0	3.06162980023123	0	0.992607555314065	4.02607507264407	0	0	1.12717262791685	0	1.84023100926798	0	1.0866469607138	1.57960630403478	0.885	-0.0291209407114044	1.08621860204971	31.5228793551742
C528_C1_G2	0.604990681258393	0	1.07429538118516	0.600557058377597	0.166327379145766	0	0.718604473893797	0	0.513783908668695	0	0	0.586292863001546	0.626641056046429	0.516117861570175	0.0114481160093579	0.427531085685309	0	0.647137175657556	2.24038480356718	0	0.719908780398335	0.363211332930058	0.741	-0.0160629846242853	1.07552423796522	9.81723195739536
C528_C1_G7	4.11372974642286	0	0.0741453292299936	0	0	6.29086259898523	0.82726984513173	2.53831399028331	1.44201200435089	0	2.95437629982039	0	0	5.2338056279761	0	2.48848216939544	0	0	6.83955230096869	0	1.41343178962038	0.121741256298646	0.663	-0.00928272808498054	1.08604872947617	34.3377229584837
C528_E1_B1	1.32766908374434	0	0.380219093983586	0	0	6.37527887137053	0.965852380462851	0.1917905616406	1.04872890903435	0	1.51368452301889	0	1.03587521373454	3.10995217740166	0.281882634882841	0	0	0	0	1.12100927910156	0.287815730228013	0	0.995	-0.0574634110228722	1.11835246473839	17.6397584586038
C528_E1_B2	0	5.01028563485523	0	0	0	4.51686613152104	0	1.02728816526324	0	0	0	0.502584442766398	0.0833790911884499	0.430160384675742	0.128992148922739	0.151939890982379	0	0	1.20123864986862	0	0.0932116453628046	0	0.271	0.0384729767934782	1.09093054994886	13.1459461854067
C530_A1_G1	0	0.23305131360672	0.450042563731913	2.12001414506192	0	0	0	0.669705760831872	2.58723995003479	0	2.21007793715353	0	0	0.707032641431904	0.853440841041883	1.08021638011809	0.993456206484633	0.379794933568646	0.0757943327731236	0.162047421530296	0.658142624770813	0.27069938968952	0.911	-0.0330274634051597	1.11359283489858	13.4507564418297
C530_A1_G5	1.06359980552187	0	0.145417033085511	0.394076030305969	0	5.16170770142033	5.49074503257062	0.0606046296098078	0	0	1.8501900117113	0	0.915432871155402	1.54207228623562	0	0.453299046895811	0	0	0.29816516108491	0	0	0	0.791	-0.0199657146042677	1.10859604686699	17.3753096095971
C530_D1_G1	0.446833341203303	0	0.306303121221563	0	1.45271106480346	2.17206112642812	0	0	0.176429046526301	0	1.77149151724875	0	0.515533143362067	1.13027938263884	0	0	0.0206923512705812	0	0	1.47141522866207	0.353043605909241	0	0.857	-0.026802332967463	1.12191105473194	9.81679292927429
C530_D1_G10	0.909962894611066	0	1.78170285223387	1.22016830743282	0	2.78382280302961	0	1.75692457305904	0.483165578813687	0	1.20018419236596	0.691581746212665	1.41291947031876	0	0.235796887128331	0	0.136958931759093	0.683249721714004	1.73080335989944	0	0.431714169100729	0	0.927	-0.0349415565990058	1.0963633635562	15.4589554876791
C531_A1_G1	0.493575766292563	0	0	0.181086229418454	0	6.12258891342273	0.965474383669089	0	0	0	2.26918945172273	0	0.304274866397892	0.689806834463691	0.123696056402843	0.2264322711692	0	0	0	0	1.08898620611625	0	0.396	0.0171087490518538	1.12314454343261	12.4651109790754
C531_A1_G2	0.586137145885194	0	0	0	3.14730201813674	0.284094419765473	6.93657507871967	0	1.22851356277393	1.39976624662291	4.82900370374442	2.59376611107899	0	1.89183988959674	0	0	0	0	0	0.954916691453708	5.05461898687427e-05	0	0.739	-0.0155382678232528	1.18848988566974	23.8519654139676
C531_A1_G3	0.233422052026291	0.572656961044234	0.512376330648381	0	2.72845669914611	0.181371302640906	1.6544865671527	0	0.286369634853724	0.866944046001116	1.07253602384195	0	0	14.0304003975928	0	0	0	0.57351148929161	0	0.880818742435512	0.543410529642613	0	0.71	-0.0137801960866941	1.1872587281872	24.136760776318
C531_A1_G4	0	0	0	0	0	3.76256222401887	0.0203766122608187	0	0	0	1.59106097502084	0	0.470501925840203	16.255523820905	2.04818808754457	0	0	0	0	3.1653488075607	1.74495751513005	0.501099098972763	0.005	0.311645956463389	1.00698223846239	29.5596190672538
C531_B1_B1	0	0	0.807137250279919	0.371946671494128	0.87399079361231	1.95206415892086	0.245005065017405	0	0	0	0.664679576959077	0	0.360946935734155	0.480575981578525	0	0	0.262919765079264	0.428476318243007	0.402714977629986	0	0	0.149379094414359	0.962	-0.0420679125073024	1.10307031417269	6.99983658896299
C531_B1_G5	2.72391264778111	0	1.10030685019869	1.53289539060436	0	3.09067381410498	0	0.0868593775985854	0	0	0	0	0.470257738645855	1.5104355502729	1.03709948939169	0	1.45447522840763	0	0.833063828804677	0.411696217389985	0.775539111705151	0	0.712	-0.013866912118709	1.0774317825984	15.0272152449056
C531_B1_G6	0	2.85492689193936	2.40614606959842	0	0	3.58369665214119	0.732540028768319	0	3.48241015769644	2.15251175332466	6.81197164627155	0	1.35725812239482	0	0	0	0.160725723131964	1.04248263350351	0	7.07486884660772	4.05226754609131	0.152202759805499	0.922	-0.0343681287443801	1.13090483941017	35.8640088312748
C531_B1_G8	0	1.35050493806985	0	1.18234204454169	0	0	2.70208703972662	0.577627060767379	0.0097964466700992	0	1.90517641547864	0	0.718819671567673	0	0.53385983884072	0.195193332000284	1.47177313695866	0.196090599054482	0	0.619417331284756	0	0.476424319250417	0.991	-0.0543343968518465	1.10968790333126	11.9391121742113
C532_C1_G8	0.942789504406102	0.292370024935022	0.388708887337582	1.81742345260357	0	6.82288618822627	4.13830405722569	0.987115299574578	0	0	3.1432456258111	0	0	2.91037709719642	0.314514156155779	0	0.495421837013626	0.14426993808476	0	0.00504764259430999	0	0	0.744	-0.0162389271836062	1.12239558766274	22.4024737111648
C532_D1_G1	0.23387848416506	1.03773897745741	0.643968603130493	0.715379414028692	0.09729710934189	0	1.73801383091201	0.90005365402927	0	0	2.85936022528099	0	0	5.10563754891972	0	0.336626942447964	0	0.390332369600109	0	3.94845741822675	0	0.592726891446729	0.168	0.0653214084119867	1.09844226709989	18.5994714689871
